Employee name,Email address,Phone number
Godstime,godstimexyz@handsinhands.org,422940203
Matthew,matthewxyz@handsinhands.org,393939282
Paul,paulxyz@handsinhands.org,244995422
James,jamesxyz@handsinhands.org,733593573
Peter,peter@handsinhands.org,733593573
Samuel,samuelxyz@handsinhands.org,874435937
David,davidxyz@handsinhands.org,493473842
Sinachi,sinachixyz@handsinhands.org,123948323
Dracks,dracksxyz@handsinhands.org,687489323
Ibrahim,ibrahimxyz@handsinhands.org,432945746
Paul,paul123@handsinhands.org,877854535
Emmanuel,emmanuel@handsinhands.org,512385847
Raphael,raphael@handsinhands.org,484985839
Daniel,danielxyz@handsinhands.org,467879797
John,johnxyz@handsinhands.org,566958448
